,Index,WaveletSystemType,RefinableMaskInfo,DualRefinableMaskInfo,SymmetryInfo,DilationMatrixInfo,WaveletMaskAmount,SR,DualSR,ValidPRP,SourceInfo,Level,TestImg,PSNR_gaussian_bayes,SSIM_gaussian_bayes,PSNR_snp_bayes,SSIM_snp_bayes,PSNR_gaussian_visu,SSIM_gaussian_visu,PSNR_snp_visu,SSIM_snp_visu
44,Q1_IN_02_ST_BI_D2SX_OB,ONB,Haar,Haar,"D2 With Center (1/2,0)",QuincunxReflection,1,1,1,True,Haar wavelet,5,lenna.bmp,18.629504317625187,0.2962487131715909,11.427883391010882,0.19058358423408195,34.81182411996648,0.8996038320755743,34.81182411996648,0.8996038320755743
45,Q1_IN_03_HL_DF_D2_FL,Frame-like Dual Wavelet System,Best In 3-point Line,Delta Function,D2,QuincunxReflection,1,2,0,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",5,lenna.bmp,18.600417273151116,0.29670332831400215,11.401057113190731,0.18905580604310204,34.02649052965887,0.8996074642966077,34.02649052965887,0.8996074642966077
46,Q1_IN_03_HL_1C_NS_FLL2,Frame-like Dual Wavelet System,Best In 3-point Line,1-Compatible In 2-point Standard,No Symmetry,QuincunxReflection,2,2,1,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",5,lenna.bmp,18.610225159657578,0.29568520859756575,11.422668968489749,0.1900817647221709,33.674248611347004,0.9044644087741179,33.674248611347004,0.9044644087741179
47,Q0_IN_03_HL_2C_D2_FLL2,Frame-like Dual Wavelet System,Best In 3-point Line,2-Compatible In 3-point Line,D2,QuincunxReflection,2,2,2,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",5,lenna.bmp,18.83010641446021,0.2962161268544142,11.352157398546838,0.18771976120621195,35.73519278708885,0.9271757983258744,35.73519278708885,0.9271757983258744
48,Q1_IN_03_HL_BI_D2_FR,Dual Wavelet Frame,Best In 3-point Line,Biorthogonal In 5-point Line,D2,QuincunxReflection,1,2,2,True,"Created by the algorithm in paper ""Symmetric multivariate wavelets"" by Karakazyan S., Skopina M., Tchobanou M. in Int. J. Wavelets Multiresolut. Inf. Process. 2009 7 (3) P. 313-340.",5,lenna.bmp,18.59155729558569,0.2962379482804793,11.468645080960407,0.19316644400099564,36.10705856420357,0.9216739425530832,36.10705856420357,0.9216739425530832
49,Q1_IN_13_C2_DF_D1_FL,Frame-like Dual Wavelet System,Best In Cube-2,Delta Function,D1,QuincunxReflection,1,4,0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",5,lenna.bmp,18.566977387956747,0.2957852049258205,11.411036643705996,0.190232533677172,33.43773104246995,0.8892176404329115,33.43773104246995,0.8892176404329115
50,Q1_IN_13_C2_2C_D1_FLL2,Frame-like Dual Wavelet System,Best In Cube-2,2-Compatible In Rhomb-1,D1,QuincunxReflection,2,4,2,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",5,lenna.bmp,18.72399741320317,0.28948159460829415,11.374246638126092,0.18598288255995574,35.25890239866699,0.9216228396894424,35.25890239866699,0.9216228396894424
51,Q1_IN_13_C2_4C_D1_FLL2,Frame-like Dual Wavelet System,Best In Cube-2,4-Compatible In Cube-1,D1,QuincunxReflection,2,4,2,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",5,lenna.bmp,18.603328515198502,0.29553198663635477,11.454473553920062,0.1935733539714892,37.83670362479572,0.9506785704453247,37.83670362479572,0.9506785704453247
52,Q1_IN_13_C2_4C_D1_FLL2_2,Frame-like Dual Wavelet System,Best In Cube-2,4-Compatible In Rhomb-2,D1,QuincunxReflection,2,4,2,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",5,lenna.bmp,18.720466559305248,0.2908729783200242,11.479181796016697,0.19172009002636334,35.753372842422294,0.9245544480011976,35.753372842422294,0.9245544480011976
53,Q1_IN_13_C2_BI_D1_FR,Dual Wavelet Frame,Best In Cube-2,Biorthogonal In Cube-3,D1,QuincunxReflection,1,4,2,True,"Created by the algorithm in paper ""Symmetric multivariate wavelets"" by Karakazyan S., Skopina M., Tchobanou M. in Int. J. Wavelets Multiresolut. Inf. Process. 2009 7 (3) P. 313-340.",5,lenna.bmp,18.60791916936318,0.2969114221842626,11.43167735726742,0.18882493912621082,34.74750659497375,0.9049201415112078,34.74750659497375,0.9049201415112078
